name,date,entrants,winner,url
Sky's Ultimate Invitational,December 15th,8,Tweek,https://www.ssbwiki.com/Tournament:Sky%27s_Ultimate_Invitational
Don't Park on the Grass 2018,December 15th-16th,581,MVD,https://www.ssbwiki.com/Tournament:Don%27t_Park_on_the_Grass_2018
Umebura SP,December 16th,746,Shuton,https://www.ssbwiki.com/Tournament:Umebura_SP
Super Splat Bros,December 21st-23rd,153,VoiD,https://www.ssbwiki.com/Tournament:Super_Splat_Bros
Let's Make Moves,December 29th,448,Tweek,https://www.ssbwiki.com/Tournament:Let%27s_Make_Moves
Midwest Mayhem Ultimate,December 29th,385,KEN,https://www.ssbwiki.com/Tournament:Midwest_Mayhem_Ultimate
SoCal Chronicles,January 5th,512,VoiD,https://www.ssbwiki.com/Tournament:SoCal_Chronicles
Smash Conference United,January 5th-6th,361,MkLeo,https://www.ssbwiki.com/Tournament:Smash_Conference_United
Sumabato SP,January 6th,306,Zackray,https://www.ssbwiki.com/Tournament:Sumabato_SP
Valhalla II,January 3rd-7th,238,Glutonny,https://www.ssbwiki.com/Tournament:Valhalla_II
Umebura SP 2,January 12th,500,Zackray,https://www.ssbwiki.com/Tournament:Umebura_SP_2
Glitch 6,January 19th-20th,551,Tweek,https://www.ssbwiki.com/Tournament:Glitch_6
Sumabato SP 2,February 2nd,303,Tea,https://www.ssbwiki.com/Tournament:Sumabato_SP_2
GENESIS 6,February 1st-3rd,2105,MkLeo,https://www.ssbwiki.com/Tournament:GENESIS_6
Heart of Battle,February 9th,401,MkLeo,https://www.ssbwiki.com/Tournament:Heart_of_Battle
Frostbite 2019,February 22nd-24th,1239,Tweek,https://www.ssbwiki.com/Tournament:Frostbite_2019
Tech Republic IV,March 1st-3rd,300,Glutonny,https://www.ssbwiki.com/Tournament:Tech_Republic_IV
Ultimate Nimbus,March 3rd,260,Light,https://www.ssbwiki.com/Tournament:Ultimate_Nimbus
Smash Ultimate Summit,March 8th-10th,16,MkLeo,https://www.ssbwiki.com/Tournament:Smash_Ultimate_Summit
Collision 2019,March 16th-17th,391,Marss,https://www.ssbwiki.com/Tournament:Collision_2019
Battle of BC 3,March 30th-31st,436,ESAM,https://www.ssbwiki.com/Tournament:Battle_of_BC_3
Suplex City Smash,April 6th,220,Nairo,https://www.ssbwiki.com/Tournament:Suplex_City_Smash
Umebura SP 3,April 13th,509,Nietono,https://www.ssbwiki.com/Tournament:Umebura_SP_3
2GG: Prime Saga,April 13th-14th,804,Shuton,https://www.ssbwiki.com/Tournament:2GG:_Prime_Saga
Sumabato SP 3,April 14th,318,Atelier,https://www.ssbwiki.com/Tournament:Sumabato_SP_3
Pound 2019,April 19th-21st,802,Ally,https://www.ssbwiki.com/Tournament:Pound_2019
Regen 2019,April 27th-28th,256,Mr.R,https://www.ssbwiki.com/Tournament:Regen_2019
ICARUS V,April 27th-28th,208,Glutonny,https://www.ssbwiki.com/Tournament:ICARUS_V
Goodwill of Orange County's Charity Invitational,April 27th-28th,12,VoiD,https://www.ssbwiki.com/Tournament:Goodwill_of_Orange_County%27s_Charity_Invitational
Come to Papa 3,April 27th-28th,499,MVD,https://www.ssbwiki.com/Tournament:Come_to_Papa_3
Umebura Japan Major 2019,May 1st-2nd,1015,kameme,https://www.ssbwiki.com/Tournament:Umebura_Japan_Major_2019
Battle Arena Melbourne 11,May 17th-19th,340,Mr. L,https://www.ssbwiki.com/Tournament:Battle_Arena_Melbourne_11
Stunfest 2019,May 17th-19th,404,Shuton,https://www.ssbwiki.com/Tournament:Stunfest_2019
Get On My Level 2019,May 17th-19th,847,Tweek,https://www.ssbwiki.com/Tournament:Get_On_My_Level_2019
